block	decision	reason
D11-B061	維持	左右独立、既定Vision Inputと自前出力、own記録がなくても既存renderから右側を表示する条件を保つ。
D11-B062	修正	原文headerと実装Diagnostics.razor:121〜130を照合し、画面全体ではなくTracker Comparison自身の見出し行と特定した。折りたたみと表示元選択の独立・保存禁止・初期化条件も維持する。
D11-B063	自然な日本語として採用	Field sourceの5つの選択肢を導く文である。
D11-B064	維持	Vision Input、ibis tracker、External、Unknown、source labelの5種類を保持する。仮想表示元、own記録不要、保存済みと旧形式、表示名完全一致と集約の違いを確認した。
D11-B065	維持	AllはField sourceには使わず数値比較の絞り込みだけに残す。複数表示元の曖昧さという理由も保持する。
D11-B066	維持	UI非依存の索引、Loadの選択時点/絞り込み/左右選択入力、比較結果と左右FieldSourceFrame出力を保持する。
D11-B067	維持	11情報群、9状態、3対応規則、ns単位、描画用型、元データ復元フラグを保持する。
D11-B068	維持	新規は保存済みalignment、許可された旧形式だけown番号とtimestampによる近傍選択を行う。Fieldと比較は同じ処理を使う。
D11-B069	維持	4保存物の状態キー、概要情報優先、概要欠損時だけ索引構築で元データ復元、操作時全件再読込禁止を保つ。
D11-B070	自然な日本語として採用	性能を制限する既存reader/modelは温存しない。ログを開く際に一度構築し、UI操作時は入出力を伴わない索引参照を優先する。
D11-B071	維持	VisionFieldCanvasを使用し、形状は選択renderから得る。黄青チームとボールの変換、不明チームを描かず状態で欠落を示す条件を保つ。
D11-B072	維持	欠落・空・エラーでも領域を残す。renderのエラー優先と、metadata/sidecar/own/candidate/drawableの各不足を区別する。
D11-B073	維持	056では重ね合わせ・色・凡例・表示切替を対象外とし、後続の描画入力としてFieldSourceFrameを再利用する。
D11-B074	修正	原文214行の少なくともという条件が見出し化で消えていた。元と同じ導入文へ戻し、テスト一覧を上限と誤解させない。
D11-B075	修正	26項目を読み直し、原文217行で100msのVision/renderの双方を確認する条件のうちraw visionが落ちていたため復元。2診断行、sample数、時刻例、単位、速度、旧更新、TDD、許容差、欠落状態、黄青変換も確認した。
D11-B076	自然な日本語として採用	後続057のフィールド重ね合わせ機能を導く見出しである。
D11-B077	維持	任意要望である057の最小実装は既存左右2表示元の再利用。選択体系の追加や任意個数の重ね合わせは含まない。
D11-B078	維持	Split/Overlay、Layer A/Bの実表示名と二択、左右選択の再利用、比較領域の折りたたみとの独立を保持する。
D11-B079	維持	2表示元限定、新規と旧形式の対応方式、All非対応、同じ表示元は1層として凡例に示す条件を保持する。
D11-B080	維持	層色はシアン/マゼンタの線・表示名、ロボット塗りは黄青を維持する。Bの破線または半透明、凡例の時刻差と件数の選択肢を保持する。
D11-B081	維持	既定は両層表示、ページ状態のみ保持、ログ変更で初期化、操作中は維持、非表示でも選択元を変えない。
D11-B082	維持	汎用Canvasを多入力化せず専用部品を追加する。4再利用要素、任意class/strokeか直接描画という選択肢、既存操作を壊さない範囲を保持する。
D11-B083	維持	FieldSourceFrameの再利用、SourceDetectionsとFromSnapshot、黄青ロボット/ボール変換、共通reader/cache、専用の再読込禁止を保持する。
D11-B084	維持	形状欠損時はsidecarだけから復元せず空表示にする。各層の状態を凡例へ残し、正常な片層は描画し、両層不可でも領域を残す。
D11-B085	自然な日本語として採用	対象を絞るテストの最低限の条件を、少なくともと明記して保持する。
D11-B086	維持	6テスト項目の初期化/維持、2表示元/Allなし、共通型、層別欠損、表示と選択の独立、色/凡例/ボールと黄青ロボット変換を確認した。
D11-B087	維持	実装する型・画面・テスト・任意READMEと、受信/保存/metadata/Core/CLI/任意個数/永続化の対象外を保つ。
D11-B088	自然な日本語として採用	後続作業への固定事項という見出しは、今回の作業を実装済みとするものではない。
D11-B089	維持	17行を確認。047の4/39/191成功と指摘時の修正・再検証・再レビュー、各後続作業の順序と非対象、057の延期可能性、062から063への速度仕様変更、追加堅牢化の承認条件を保持する。
D11-B090	維持	17完了条件の保存範囲、受信先、記録分離、相対パス、旧形式、CLI/UI、左右選択と重ね表示、高速入力と等倍表示、再読込禁止、作業ごとのレビュー/コミットを保持する。これは診断機能の条件であり、DOC-LINT-003の今回の合格根拠にはしない。
